CO, Alcohol, CO2, Toluene, NH4, Acetone
202649.17, 8458.84, 7562.93, 7278.36, 3939.35, 5017.90
204632.88, 8525.66, 7616.68, 7340.67, 3963.53, 5059.90
178243.70, 7625.99, 6889.33, 6505.30, 3634.28, 4496.05
209883.94, 8701.94, 7758.27, 7505.23, 4027.12, 5170.80
223409.16, 9152.14, 8118.60, 7926.77, 4188.23, 5454.65
230957.02, 9401.09, 8317.08, 8160.62, 4276.56, 5611.97
213600.16, 8826.18, 7857.89, 7621.38, 4071.76, 5249.05
205431.86, 8552.54, 7638.28, 7365.74, 3973.24, 5076.80
174479.28, 7495.63, 6783.25, 6384.92, 3585.87, 4414.67
101620.73, 4843.80, 4579.08, 3978.61, 2553.47, 2779.76
31047.72, 1858.87, 1933.90, 1409.72, 1212.46, 1007.74
14327.39, 995.32, 1102.25, 716.54, 745.93, 519.92
8777.48, 670.01, 771.94, 466.70, 548.31, 341.86
5873.09, 484.32, 576.41, 328.35, 426.01, 242.39
4769.86, 409.40, 495.50, 273.70, 373.82, 202.86
4061.36, 359.53, 440.84, 237.77, 337.90, 176.78
3592.21, 325.60, 403.20, 213.56, 312.83, 159.15
3740.04, 336.38, 415.20, 221.23, 320.85, 164.74
3473.07, 316.85, 393.44, 207.35, 306.27, 154.63
3418.71, 312.83, 388.95, 204.51, 303.25, 152.55
3223.43, 298.32, 372.67, 194.25, 292.25, 145.06
3357.51, 308.30, 383.88, 201.30, 299.83, 150.21
3544.12, 322.07, 399.27, 211.06, 310.19, 157.33
3208.83, 297.23, 371.44, 193.48, 291.42, 144.50
3031.33, 283.88, 356.39, 184.08, 281.19, 137.63
2895.74, 273.57, 344.73, 176.85, 273.22, 132.35
2586.25, 249.70, 317.54, 160.20, 254.49, 120.15
3024.42, 283.35, 355.80, 183.71, 280.78, 137.36
3357.51, 308.30, 383.88, 201.30, 299.83, 150.21
3790.53, 340.04, 419.27, 223.84, 323.57, 166.64
4170.82, 367.34, 449.44, 243.37, 343.59, 180.85
4625.84, 399.39, 484.58, 266.45, 366.69, 197.61
2123.87, 212.98, 275.17, 134.84, 224.88, 101.51
1262.60, 139.93, 188.55, 85.54, 162.21, 65.05
1024.20, 118.17, 161.94, 71.23, 142.23, 54.38
962.32, 112.36, 154.77, 67.45, 136.77, 51.56
906.10, 107.03, 148.14, 63.99, 131.69, 48.97
908.48, 107.26, 148.42, 64.13, 131.91, 49.08
935.06, 109.79, 151.57, 65.77, 134.32, 50.31
855.01, 102.13, 142.02, 60.82, 126.98, 46.60
812.92, 98.05, 136.90, 58.19, 123.01, 44.63
812.92, 98.05, 136.90, 58.19, 123.01, 44.63
654.72, 82.32, 116.97, 48.15, 107.38, 37.08
602.66, 76.99, 110.14, 44.78, 101.93, 34.54
667.41, 83.61, 118.62, 48.97, 108.68, 37.70
644.01, 81.23, 115.58, 47.46, 106.27, 36.56
